71,Texas,Big 12,Jay Boulware,700000,0,700000,700000,0,6329999
72,UCLA,Pac-12,Jerry Azzinaro,700000,0,700000,700000,0,4280800
73,UCLA,Pac-12,Justin Frye,700000,0,700000,700000,0,4280800
74,Michigan State,Big Ten,Mike Tressel,723000,27252,695748,695748,46717,5717438
75,Kansas,Big 12,D.J. Eliot,700000,8944,691056,691056,80500,2669930
76,Ohio State,Big Ten,Greg Studrawa,700000,11667,688333,688333,26250,7859200
77,Washington,Pac-12,Scott Huff,700008,12250,687758,687758,21000,5059925
78,South Carolina,SEC,Eric Wolford,700000,15400,684600,684600,30800,5095792
79,Mississippi,SEC,DJ Durkin,700000,17500,682500,682500,17500,4753125
80,Mississippi,SEC,Jeff Lebby,700000,17500,682500,682500,17500,4753125
81,Georgia,SEC,Dell McGee,675000,0,675000,676500,0,7244000
82,West Virginia,Big 12,Vic Koenning,676000,0,676000,676000,0,3746980
83,Alabama,SEC,Sal Sunseri,675000,0,675000,675000,0,8850000
84,Rutgers,Big Ten,Robb Smith,675000,0,675000,675000,0,4142701
85,Michigan State,Big Ten,Chris Kapilovic,700000,28583,671417,671417,49000,5717438
86,Oregon State,Pac-12,Brian Lindgren,700008,32014,667994,667994,48021,3368446
87,Arizona,Pac-12,Paul Rhoads,750000,82083,667917,667917,82083,3067944
88,NC State,ACC,Tony Gibson,700000,37917,662083,662083,96250,3957436
89,Kentucky,SEC,Jon Sumrall,650000,0,650000,650900,0,5781100
90,Tennessee,SEC,Jimmy Brumbaugh,650000,0,650000,650000,0,6312292
91,California,Pac-12,Bill Musgrave,650000,0,650000,650000,0,3623218
92,Alabama,SEC,Kyle Flood,650000,0,650000,650000,0,8850000
93,Texas,Big 12,Stanley Drayton,650000,0,650000,650000,0,6329999
94,Auburn,SEC,Rodney Garner,650000,0,650000,650000,0,6760000
95,Maryland,Big Ten,Jon Hoke,679500,33975,645525,645525,69200,3569567
96,Louisiana State,SEC,James Cregg,650000,8125,641875,644125,34375,7461950
97,Texas,Big 12,Herb Hand,700000,56146,643854,643854,96250,6329999
98,NC State,ACC,Tim Beck,700000,61250,638750,638750,96250,3957436
99,Florida,SEC,Billy Gonzales,631500,0,631500,631500,0,6300000
100,Florida,SEC,John Hevesy,631500,0,631500,631500,0,6300000
101,Arkansas,SEC,Brad Davis,650000,25000,625000,625000,45833,5036250
102,Iowa,Big Ten,Ken O'Keefe,685000,68500,616500,616500,68500,4753600
103,Florida State,ACC,Kenny Dillingham,625000,9375,615625,615625,18750,5355750
104,Clemson,ACC,Robbie Caldwell,640000,32000,608000,610500,64000,7641500
105,Missouri,SEC,Brick Haley,625000,15625,609375,609375,15625,4840875
106,Mississippi,SEC,Chris Partridge,625000,15625,609375,609375,15625,4753125
107,Virginia,ACC,Robert Anae,650000,41979,608021,608021,41979,3572868
108,Oregon,Pac-12,Joe Salave'a,650000,41979,608021,608021,41979,4770626
109,Virginia,ACC,Nick Howell,650000,41979,608021,608021,41979,3572868
110,Ohio State,Big Ten,Tony Alford,618000,10300,607700,607700,10300,7859200
111,Georgia,SEC,Glenn Schumann,600000,0,600000,604500,0,7244000
112,Georgia,SEC,Tray Scott,600000,0,600000,602500,0,7244000
113,Georgia,SEC,Charlton Warren,600000,0,600000,601500,0,7244000
114,Georgia Tech,ACC,Brent Key,600000,0,600000,600000,0,3236000
115,Arizona State,Pac-12,Zak Hill,600000,0,600000,600000,0,3700000
116,Texas A&M,SEC,Josh Henson,600000,0,600000,600000,0,7503197
117,Arizona State,Pac-12,Marvin Lewis,600000,0,600000,600000,0,3700000
118,Mississippi State,SEC,Zach Arnett,600000,0,600000,600000,0,4300000
119,Utah,Pac-12,Jim Harding,600000,0,600000,600000,0,4255000
120,Purdue,Big Ten,Bob Diaco,625000,31250,593750,593750,93750,3472150
121,Minnesota,Big Ten,Joseph Rossi,625000,38462,586538,586538,62500,3619926
122,Minnesota,Big Ten,Mike Sanford Jr.,625000,38462,586538,586538,62500,3619926
123,Kansas State,Big 12,Courtney Messingham,625000,44271,580729,580729,62500,3402607
124,Oklahoma,Big 12,Cale Gundy,580000,0,580000,580000,0,6283333
125,Texas Tech,Big 12,David Yost,600000,22292,577708,577708,53500,3564139
126,Texas Tech,Big 12,Keith Patterson,600000,22292,577708,577708,53500,3564139
127,Rutgers,Big Ten,Francis Brown,575000,0,575000,575000,0,4142701
128,Oregon State,Pac-12,Tim Tibesar,600000,25800,574200,574200,39238,3368446
129,Tennessee,SEC,Jay Graham,575000,3958,571042,571042,15833,6312292
130,Louisiana State,SEC,Corey Raymond,575000,7188,567812,570062,29688,7461950
131,Washington,Pac-12,Bob Gregory,575004,10063,564941,564941,17250,5059925
132,Louisiana State,SEC,Bill Johnson,571500,6875,564625,564625,27500,7461950
133,Washington State,Pac-12,Jake Dickert,615000,51250,563750,563750,51250,3632915
134,Clemson,ACC,Brandon Streeter,590000,29500,560500,563000,59000,7641500
135,Florida State,ACC,John Papuchis,570000,8250,561750,561750,16500,5355750
136,Oregon,Pac-12,Keith Heyward,600000,38750,561250,561250,38750,4770626
137,Georgia,SEC,Cortez Hankton,550000,0,550000,554500,0,7244000
138,Texas,Big 12,Coleman Hutzler,600000,47396,552604,552604,81250,6329999
139,Florida,SEC,Brian Johnson,551500,0,551500,551500,0,6300000
140,Georgia,SEC,Scott Cochran,550000,0,550000,550000,0,7244000
141,Oklahoma State,Big 12,Joe Bob Clements,550000,0,550000,550000,0,4736875
142,Alabama,SEC,Charles Huff,550000,0,550000,550000,0,8850000
143,Alabama,SEC,Karl Scott,550000,0,550000,550000,0,8850000
144,Oklahoma State,Big 12,Charlie Dickey,550000,0,550000,550000,0,4736875
145,Washington State,Pac-12,Brian Smith,595000,49583,545417,545417,49583,3632915
146,Ohio State,Big Ten,Brian Hartline,550000,9167,540833,540833,20625,7859200
147,Florida State,ACC,Odell Haggins,550000,9625,540375,540375,16500,5355750
148,Oklahoma,Big 12,Shane Beamer,540000,0,540000,540000,0,6283333
149,Missouri,SEC,Curtis Luper,550000,13750,536250,536250,13750,4840875
150,Arizona,Pac-12,Noel Mazzone,600000,65000,535000,535000,65000,3067944
151,West Virginia,Big 12,Gerad Parker,551000,17500,533500,533500,26667,3746980
152,Texas A&M,SEC,Terry Price,533333,0,533333,533333,0,7503197
153,Colorado,Pac-12,Darrin Chiaverini,550000,17188,532812,533012,27500,3319193
154,Michigan State,Big Ten,Ron Burton,552500,20825,531675,531675,35700,5717438
155,Utah,Pac-12,Morgan Scalley,525000,0,525000,525000,0,4255000
156,Clemson,ACC,Mike Reed,545000,27250,517750,520250,54500,7641500
